FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING;ABCP11;01.201.140/0001-90
AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOBILIÁRIOS;AFHI11;36.642.293/0001-58
AUTONOMY EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;AIEC11;35.765.826/0001-26
FUNDO DE INVESTIMENTO IMOBILIÁRIO FII TORRE ALMIRANTE;ALMI11;07.122.725/0001-00
ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;ALZM11;34.847.063/0001-08
ALIANZA TRUST RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;ALZR11;28.737.771/0001-85
FUNDO DE INVESTIMENTO IMOBILIÁRIO ANCAR IC;ANCR11B;07.789.135/0001-27
NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;APTO11;42.432.327/0001-82
FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS;APXM11;43.010.485/0001-07
AROEIRA 333 RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;AROA11;44.674.528/0001-11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS;ARRI11;32.006.821/0001-21
ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO;ARXD11;44.527.494/0001-32
ASA METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO;ASMT11;38.293.921/0001-62
ASA RETROFITS I FUNDO DE INVESTIMENTO IMOBILIÁRIO;ASRF11;45.188.033/0001-45
HAZ FUNDO DE INVESTIMENTO IMOBILIÁRIO;ATCR11;14.631.148/0001-39
HEDGE ATRIUM SHOPPING SANTO ANDRÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO;ATSA11;12.809.972/0001-00
AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO;ATWN11;27.773.327/0001-52
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO;AURB11;41.076.823/0001-88
FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I FII;BARI11;29.267.567/0001-00
BB FUNDO DE INVESTIMENTO IMOBILIÁRIO PROGRESSIVO;BBFI11B;07.000.400/0001-46
BB FUNDO DE FUNDOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;BBFO11;37.180.091/0001-02
BB RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;BBIM11;20.716.161/0001-93
BB PROGRESSIVO II FUNDO DE INVESTIMENTO IMOBILIÁRIO;BBPO11;14.410.722/0001-29
BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO;BBRC11;12.681.340/0001-04
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL FUNDO DE FUNDOS;BCFF11;11.026.627/0001-38
BRADESCO CARTEIRA IMOBILIÁRIA ATIVA FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO;BCIA11;20.216.935/0001-17
BANESTES RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;BCRI11;22.219.335/0001-38
BRIO CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO IMOBILIÁRIO;BICE11;39.332.032/0001-20
INTER TÍTULOS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIARIO;BICR11;34.007.109/0001-72
BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;BIME11;41.081.356/0001-84
BRIO REAL ESTATE IV FUNDO DE INVESTIMENTO IMOBILIÁRIO;BIPD11;42.869.892/0001-01
BLUEMACAW CATUAÍ TRIPLE A FUNDO DE INVESTIMENTO IMOBILIÁRIO;BLCA11;41.076.748/0001-55
BLUEMACAW CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO;BLMC11;38.294.221/0001-92
BLUEMACAW LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;BLMG11;34.081.637/0001-71
BLUEMACAW OFFICE FUND II FUNDO DE INVESTIMENTO IMOBILIÁRIO;BLMO11;34.895.894/0001-47
BLUEMACAW RENDA+ FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO;BLMR11;36.368.869/0001-30
FUNDO DE INVESTIMENTO IMOBILIÁRIO BLUE RECEBÍVEIS IMOBILIÁRIOS;BLUR11;38.051.307/0001-94
FUNDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO;BMII11;02.027.437/0001-44
FUNDO DE INVESTIMENTO IMOBILIÁRIO BM BRASCAN LAJES CORPORATIVAS;BMLC11;14.376.247/0001-11
BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIÁRIO;BNFS11;15.570.431/0001-60
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL PLURAL ABSOLUTO FUNDO DE FUNDOS;BPFF11;17.324.357/0001-28
BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;BPLC11;28.267.555/0001-13
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS;BPML11;33.046.142/0001-49
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRLPROP;BPRP11;29.800.650/0001-01
BRESCO LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRCO11;20.748.515/0001-81
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL CORPORATE OFFICE FUND;BRCR11;08.924.783/0001-01
BRAZIL REAL ESTATE VICTORY FUND I FUNDO DE INVESTIMENTO IMOBILIÁRIO;BREV11;26.195.121/0001-20
FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;BRHT11B;15.461.076/0001-91
BRIO REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRIM11;23.964.843/0001-03
BRIO REAL ESTATE III FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRIP11;34.895.752/0001-80
BRIX FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRIX11;35.360.651/0001-77
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II;BRLA11;35.652.278/0001-28
BRPR CORPORATE OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO;BROF11;48.978.859/0001-04
BR7 SENADO FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRSE11;40.944.736/0001-32
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA;BTAL11;36.642.244/0001-15
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL CRÉDITO IMOBILIÁRIO;BTCI11;09.552.812/0001-14
BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;BTLG11;11.839.593/0001-09
FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL TERRAS AGRÍCOLAS;BTRA11;41.076.607/0001-32
BTSP I FUNDO DE INVESTIMENTO IMOBILIÁRIO;BTSG11;36.098.375/0001-83
BTSP II FUNDO DE INVESTIMENTO IMOBILIÁRIO;BTSI11;36.930.464/0001-44
BTOWERS FUNDO DE INVESTIMENTO IMOBILIÁRIO;BTWR11;20.132.453/0001-89
FUNDO DE INVESTIMENTO IMOBILIÁRIO BRASIL VAREJO;BVAR11;21.126.204/0001-43
BARZEL FUNDO DE INVESTIMENTO IMOBILIÁRIO;BZEL11;35.507.610/0001-60
BRAZIL REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO;BZLI11;14.074.706/0001-02
CARTESIA RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;CACR11;32.065.364/0001-46
BRAZILIAN GRAVEYARD AND DEATH CARE SERVICES FUNDO DE INVESTIMENTO IMOBILIÁRIO;CARE11;13.584.584/0001-31
CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO;CBOP11;17.144.039/0001-85
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRAL LEBLON;CCLB11;45.777.347/0001-83
CANUMA CAPITAL MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;CCME11;43.010.844/0001-26
RBR CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO;CCRF11;40.011.268/0001-43
FUNDO DE INVESTIMENTO IMOBILIÁRIO CEO CYRELA COMMERCIAL PROPERTIES;CEOC11;15.799.397/0001-09
CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO;CFHI11;34.508.923/0001-70
CF3 FUNDO DE INVESTIMENTO IMOBILIÁRIO;CFII11;41.325.993/0001-59
CIX RENDIMENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO;CIXR11;47.086.230/0001-89
CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO;CJCT11;10.347.985/0001-80
FUNDO DE INVESTIMENTO IMOBILIÁRIO CJ;CJFI11;23.582.914/0001-03
